mesic_shrub,mesic_shrub_occ,xeric_shrub,xeric_shrub_occ,mesic_shrub_Nfix,mesic_shrub_Nfix_occ,xeric_shrub_Nfix,xeric_shrub_Nfix_occ,ann_c3_grass,ann_c3_grass_occ,ann_c4_grass,ann_c4_grass_occ,perenn_c3_grass,perenn_c3_grass_occ,perenn_c4_grass,perenn_c4_grass_occ,ephem_c3_grass,ephem_c3_grass_occ,ephem_c4_grass,ephem_c4_grass_occ,Nfix_mesic_midstory,Nfix_mesic_midstory_occ,Nfix_mod_rain,Nfix_mod_rain_occ,Nfix_xeric,Nfix_xeric_occ,savanna_tree,savanna_tree_occ,subalpine_tree,subalpine_tree_occ,floodplain_sclerophyll,floodplain_sclerophyll_occ,warm_rainforest_tree,warm_rainforest_tree_occ,cold_rainforest_tree,cold_rainforest_tree_occ,tall_sclerophyll_seed,tall_sclerophyll_seed_occ,tall_schlerophyll_resprout,tall_schlerophyll_resprout_occ,med_sclerophyll_seed,med_sclerophyll_seed_occ,med_schlerophyll_resprout,med_schlerophyll_resprout_occ,short_sclerophyll_seed,short_sclerophyll_seed_occ,short_schlerophyll_resprout,short_schlerophyll_resprout_occ
NA,NA,NA,NA,NA,NA,Acacia consanguinea,59,NA,NA,NA,NA,Teucrium albicaule,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus mckieana,53,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Jacksonia fasciculata,59,NA,NA,NA,NA,Carpobrotus virescens,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus hallii,51,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Pultenaea arida,59,NA,NA,NA,NA,Lepyrodia cryptica,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus cadens,50,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Senna curvistyla,59,NA,NA,NA,NA,Poa poiformis var. ramifer,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus helidonica,49,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia longiphyllodinea,58,NA,NA,NA,NA,Austrostipa juncifolia,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus kartzoffiana,49,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Gastrolobium rigidum,58,NA,NA,NA,NA,Craspedia costiniana,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus virens,48,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Leptosema macrocarpum,58,NA,NA,NA,NA,Carex horsfieldii,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus rhombica,47,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Sphaerolobium daviesioides,58,NA,NA,NA,NA,Drosera andersoniana,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia petalophylla,46,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia balsamea,57,NA,NA,NA,NA,Indigofera polygaloides,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus acroleuca,45,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia delphina,57,NA,NA,NA,NA,Astelia alpina var. novae-hollandiae,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus scoparia,43,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Daviesia articulata,57,NA,NA,NA,NA,Caladenia vulgaris,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus gigantangion,42,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Daviesia daphnoides,57,NA,NA,NA,NA,Lythrum paradoxum,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora bakeri subsp. crassifolia,41,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Eutaxia cuneata,57,NA,NA,NA,NA,Microtidium atratum,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia scabrida,40,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Jacksonia epiphyllum,57,NA,NA,NA,NA,Plantago alpestris,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus grisea,40,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Chorizema nervosum,56,NA,NA,NA,NA,Thelymitra jonesii,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus magnificata,40,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Daviesia dilatata,56,NA,NA,NA,NA,Drosera huegelii,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus psammitica,40,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Indigofera rugosa,56,NA,NA,NA,NA,Gingidia harveyana,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus volcanica,40,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia clelandii,55,NA,NA,NA,NA,Gonocarpus serpyllifolius,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus alligatrix subsp. alligatrix,39,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia crassuloides,55,NA,NA,NA,NA,Micraira tenuis,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus decolor,37,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia puncticulata,55,NA,NA,NA,NA,Pterostylis coccina,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia aureola,36,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Eutaxia major,55,NA,NA,NA,NA,Thelymitra malvina,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brachychiton diversifolius,33,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Senna hamersleyensis,55,NA,NA,NA,NA,Trachymene humilis subsp. breviscapa,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus mitchelliana,33,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia xanthocarpa,54,NA,NA,NA,NA,Australina pusilla subsp. pusilla,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus paedoglauca,33,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Allocasuarina scleroclada,54,NA,NA,NA,NA,Colobanthus affinis,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus beaniana,32,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Leptosema tomentosum,54,NA,NA,NA,NA,Drosera derbyensis,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus morrisbyi,31,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Allocasuarina muelleriana,53,NA,NA,NA,NA,Poa hothamensis var. hothamensis,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus cinerea subsp. cinerea,30,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Eutaxia empetrifolia,53,NA,NA,NA,NA,Pterostylis truncata,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus taurina,30,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Jacksonia cupulifera,53,NA,NA,NA,NA,Schoenus yarrabensis,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia ligans,29,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Phyllota remota,53,NA,NA,NA,NA,Conostylis robusta,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia clavigera,28,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia abbreviata,52,NA,NA,NA,NA,Vittadinia condyloides,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus rubida subsp. barbigerorum,28,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia ashbyae,52,NA,NA,NA,NA,Neurachne tenuifolia,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus litoralis,26,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia gracilifolia,52,NA,NA,NA,NA,Pterostylis alveata,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus corticosa,25,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia poliochroa,52,NA,NA,NA,NA,Viola silicestris,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia leptoloma,23,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia trigonophylla,52,NA,NA,NA,NA,Drosera bulbosa,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus caleyi,21,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Allocasuarina muelleriana subsp. alticola,52,NA,NA,NA,NA,Goodenia cusackiana,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus caleyi subsp. ovendenii,21,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Aotus sp. Southern Wheatbelt (C.A.Gardner & W.E.Blackall 1412),50,NA,NA,NA,NA,Vittadinia tenuissima,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus canobolensis,21,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Bossiaea barbarae,50,NA,NA,NA,NA,Acianthus collinus,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus ophitica,17,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Labichea cassioides,50,NA,NA,NA,NA,Brasenia schreberi,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus rudis subsp. cratyantha,14,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Mirbelia seorsifolia,50,NA,NA,NA,NA,Drosera androsacea,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus wilcoxii,12,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Bossiaea halophila,49,NA,NA,NA,NA,Poa labillardierei var. acris,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus alba,11,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Cullen pogonocarpum,49,NA,NA,NA,NA,Rytidosperma racemosum var. obtusatum,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus brevistylis,10,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Jacksonia foliosa,49,NA,NA,NA,NA,Aponogeton queenslandicus,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus alligatrix subsp. miscella,7,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Jacksonia rhadinoclada,49,NA,NA,NA,NA,Ranunculus anemoneus,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus virginea,4,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Labichea teretifolia subsp. grandistipulata,49,NA,NA,NA,NA,Caladenia tessellata,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus aromaphloia,2,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Phyllota luehmannii,49,NA,NA,NA,NA,Prasophyllum lindleyanum,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus goniocalyx,2,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Tephrosia arenicola,49,NA,NA,NA,NA,Austrostipa pycnostachya,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus relicta,2,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia maxwellii,48,NA,NA,NA,NA,Brachyscome papillosa,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brachychiton populneus,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia tetraptera,48,NA,NA,NA,NA,Ranunculus niphophilus,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Mirbelia ovata,48,NA,NA,NA,NA,Deyeuxia parviseta var. parviseta,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Senna ferraria,48,NA,NA,NA,NA,Limonium australe,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia confluens,47,NA,NA,NA,NA,Salvia plebeia,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Daviesia rubiginosa,47,NA,NA,NA,NA,Brachyscome obovata,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Templetonia battii,47,NA,NA,NA,NA,Craspedia adenophora,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia ferocior,46,NA,NA,NA,NA,Euchiton traversii,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia pulviniformis,46,NA,NA,NA,NA,Plantago glacialis,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Gastrolobium hookeri,46,NA,NA,NA,NA,Pterostylis pedoglossa,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Gastrolobium tetragonophyllum,46,NA,NA,NA,NA,Caladenia prolata,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Pultenaea kraehenbuehlii,46,NA,NA,NA,NA,Crotalaria eremaea,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Pultenaea rotundifolia,46,NA,NA,NA,NA,Mullerochloa moreheadiana,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Pultenaea vestita,46,NA,NA,NA,NA,Pterostylis reflexa,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Senna stowardii,46,NA,NA,NA,NA,Ranunculus muelleri,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia acoma,45,NA,NA,NA,NA,Cardamine astoniae,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia auricoma,45,NA,NA,NA,NA,Pterostylis aciculiformis,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia dilatata,45,NA,NA,NA,NA,Astelia psychrocharis,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia octonervia,45,NA,NA,NA,NA,Celmisia longifolia,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia sphacelata subsp. recurva,45,NA,NA,NA,NA,Desmocladus laxiflorus,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia sphaerostachya,45,NA,NA,NA,NA,Festuca plebeia,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia warramaba,45,NA,NA,NA,NA,Pappochroma gunnii,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Daviesia oxyclada,45,NA,NA,NA,NA,Plantago muelleri,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Gastrolobium punctatum,45,NA,NA,NA,NA,Thelymitra grandiflora,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Gompholobium obcordatum,45,NA,NA,NA,NA,Lepidium aschersonii,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Jacksonia macrocalyx,45,NA,NA,NA,NA,Neololeba atra,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Tephrosia sp. Granite (P.K.Latz 12116),45,NA,NA,NA,NA,Pappochroma paludicola,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia diaphyllodinea,44,NA,NA,NA,NA,Scutellaria mollis,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Aotus tietkensii,44,NA,NA,NA,NA,Austrostipa crinita,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Cullen lachnostachys,44,NA,NA,NA,NA,Chiloglottis seminuda,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Daviesia anceps,44,NA,NA,NA,NA,Thelymitra bracteata,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Acacia dermatophylla,43,NA,NA,NA,NA,Thoracostachyum sumatranum,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Allocasuarina drummondiana,43,NA,NA,NA,NA,Prasophyllum suttonii,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Daviesia stricta,43,NA,NA,NA,NA,Pterostylis aestiva,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,Gastrolobium rubrum,43,NA,NA,NA,NA,Ranunculus undosus,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
